Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
30,2:07:36,,Felix KENY,25 DEC 1985,KEN,2,,Barcelona (ESP),07 MAR 2010,1200,2010,0 days 02:07:36,7656,KEN,ke,:ke:,Kenya,F
31,2:07:37,,Teshome Etanat GELANA,31 OCT 1983,ETH,1,,"Houston, TX (USA)",17 JAN 2010,1200,2010,0 days 02:07:37,7657,ETH,et,:et:,Ethiopia,F
31,2:07:37,,Hailu MEKONNEN,04 APR 1980,ETH,5,,Amsterdam (NED),17 OCT 2010,1200,2010,0 days 02:07:37,7657,ETH,et,:et:,Ethiopia,F
33,2:07:38,,Charles Waweru KAMATHI,18 MAY 1978,KEN,1,,Eindhoven (NED),10 OCT 2010,1200,2010,0 days 02:07:38,7658,KEN,ke,:ke:,Kenya,F
33,2:07:38,,Nicholas Chelimo KIPKORIR,08 JAN 1983,KEN,2,,Eindhoven (NED),10 OCT 2010,1200,2010,0 days 02:07:38,7658,KEN,ke,:ke:,Kenya,F
35,2:07:40,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Eindhoven (NED),10 OCT 2010,1199,2010,0 days 02:07:40,7660,KEN,ke,:ke:,Kenya,F
36,2:07:54,,Benjamin KIPTOO,10 JAN 1979,KEN,1,,Chuncheon (KOR),24 OCT 2010,1195,2010,0 days 02:07:54,7674,KEN,ke,:ke:,Kenya,F
37,2:07:56,,Shadrack KIPLAGAT,09 DEC 1977,KEN,6,,Amsterdam (NED),17 OCT 2010,1195,2010,0 days 02:07:56,7676,KEN,ke,:ke:,Kenya,F
38,2:07:58,,Kenneth Mburu MUNGARA,07 SEP 1973,KEN,1,,Toronto (CAN),26 SEP 2010,1194,2010,0 days 02:07:58,7678,KEN,ke,:ke:,Kenya,F
39,2:08:04,,Abel KIRUI,06 APR 1982,KEN,5,,London (GBR),25 APR 2010,1192,2010,0 days 02:08:04,7684,KEN,ke,:ke:,Kenya,F
40,2:08:10,,Jafred Chirchir KIPCHUMBA,08 AUG 1983,KEN,2,,Toronto (CAN),26 SEP 2010,1191,2010,0 days 02:08:10,7690,KEN,ke,:ke:,Kenya,F
41,2:08:13,,Yared DAGNAW SHAREW,1980,ERI,4,,Eindhoven (NED),10 OCT 2010,1190,2010,0 days 02:08:13,7693,ERI,er,:er:,Eritrea,F
42,2:08:14,,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,1,,"New York, NY (USA)",07 NOV 2010,1190,2010,0 days 02:08:14,7694,ETH,et,:et:,Ethiopia,F
43,2:08:15,,Daniel Kipkurgat RONO,13 JUL 1978,KEN,3,,Toronto (CAN),26 SEP 2010,1189,2010,0 days 02:08:15,7695,KEN,ke,:ke:,Kenya,F
43,2:08:15,,David Kemboi KIYENG,22 APR 1983,KEN,1,,Seoul (KOR),07 NOV 2010,1189,2010,0 days 02:08:15,7695,KEN,ke,:ke:,Kenya,F
45,2:08:17,,Mohamed EL HACHIMI,05 SEP 1980,MAR,2,,Seoul (KOR),07 NOV 2010,1189,2010,0 days 02:08:17,7697,MAR,ma,:ma:,Morocco,F
46,2:08:22,,Nixon Machichim KIPKOECH,1983,KEN,4,,Toronto (CAN),26 SEP 2010,1187,2010,0 days 02:08:22,7702,KEN,ke,:ke:,Kenya,F
47,2:08:24,,Daniel CHEPYEGUN,06 JAN 1986,UGA,5,,Frankfurt (GER),31 OCT 2010,1187,2010,0 days 02:08:24,7704,UGA,ug,:ug:,Uganda,F
48,2:08:25,,Wegayehu Girma TEFERA,28 SEP 1988,ETH,3,,Seoul (KOR),07 NOV 2010,1187,2010,0 days 02:08:25,7705,ETH,et,:et:,Ethiopia,F
49,2:08:27,,Zembaba YIGEZE,26 SEP 1983,ETH,2,,"Houston, TX (USA)",17 JAN 2010,1186,2010,0 days 02:08:27,7707,ETH,et,:et:,Ethiopia,F
50,2:08:29,,Daniel KIPRUGUT,25 APR 1978,KEN,5,,Paris (FRA),11 APR 2010,1185,2010,0 days 02:08:29,7709,KEN,ke,:ke:,Kenya,F
51,2:08:32,,Mulugeta WAMI,17 JUL 1982,ETH,6,,Paris (FRA),11 APR 2010,1185,2010,0 days 02:08:32,7712,ETH,et,:et:,Ethiopia,F
51,2:08:32,,Iaroslav MUȘINSCHI,08 AUG 1976,MDA,1,,Düsseldorf (GER),02 MAY 2010,1185,2010,0 days 02:08:32,7712,MDA,md,:md:,"Moldova, Republic of",F
53,2:08:33,,Gilbert CHEPKWONY,1985,KEN,1,,Košice (SVK),03 OCT 2010,1184,2010,0 days 02:08:33,7713,KEN,ke,:ke:,Kenya,F
53,2:08:33,,Stephen MOKOKA,31 JAN 1985,RSA,4,,Seoul (KOR),07 NOV 2010,1184,2010,0 days 02:08:33,7713,ZAF,za,:za:,,F
55,2:08:39,,Siraj Amda GENA,12 NOV 1984,ETH,1,,Roma (ITA),21 MAR 2010,1183,2010,0 days 02:08:39,7719,ETH,et,:et:,Ethiopia,F
56,2:08:40,,Henry Kemo SUGUT,04 MAY 1985,KEN,1,,Wien (AUT),18 APR 2010,1182,2010,0 days 02:08:40,7720,KEN,ke,:ke:,Kenya,F
57,2:08:41,,Solomon BUSHENDICH,10 JAN 1984,KEN,2,,Košice (SVK),03 OCT 2010,1182,2010,0 days 02:08:41,7721,KEN,ke,:ke:,Kenya,F
58,2:08:42,,Peter Kiplagat CHEBET,24 JUN 1976,KEN,3,,Košice (SVK),03 OCT 2010,1182,2010,0 days 02:08:42,7722,KEN,ke,:ke:,Kenya,F
59,2:08:44,,Wesley KORIR,15 NOV 1982,KEN,4,,"Chicago, IL (USA)",10 OCT 2010,1181,2010,0 days 02:08:44,7724,KEN,ke,:ke:,Kenya,F
60,2:08:45,,Samuel WOLDEAMANUEL GEBREMICHAEL,14 MAR 1981,ETH,3,,Barcelona (ESP),07 MAR 2010,1181,2010,0 days 02:08:45,7725,ETH,et,:et:,Ethiopia,F
60,2:08:45,,Deressa CHIMSA,21 NOV 1976,ETH,1,,Daegu (KOR),11 APR 2010,1181,2010,0 days 02:08:45,7725,ETH,et,:et:,Ethiopia,F
60,2:08:45,,Daniel KOSGEI,19 JUN 1986,KEN,7,,Amsterdam (NED),17 OCT 2010,1181,2010,0 days 02:08:45,7725,KEN,ke,:ke:,Kenya,F
63,2:08:46,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,6,,London (GBR),25 APR 2010,1181,2010,0 days 02:08:46,7726,BRA,br,:br:,Brazil,F
64,2:08:53,,Francis KIPROP,25 DEC 1984,KEN,6,,Rotterdam (NED),11 APR 2010,1179,2010,0 days 02:08:53,7733,KEN,ke,:ke:,Kenya,F
64,2:08:53,,Benson Kipchumba BARUS,04 JUL 1980,KEN,2,,Chuncheon (KOR),24 OCT 2010,1179,2010,0 days 02:08:53,7733,KEN,ke,:ke:,Kenya,F
66,2:08:54,,David KIPSEREM,22 MAR 1983,KEN,3,,Chuncheon (KOR),24 OCT 2010,1179,2010,0 days 02:08:54,7734,KEN,ke,:ke:,Kenya,F
67,2:08:55,,Yusuf SONGOKA,05 FEB 1979,KEN,1,,Hannover (GER),02 MAY 2010,1178,2010,0 days 02:08:55,7735,KEN,ke,:ke:,Kenya,F
67,2:08:55,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,5,,Toronto (CAN),26 SEP 2010,1178,2010,0 days 02:08:55,7735,ETH,et,:et:,Ethiopia,F
69,2:08:58,,Jason MBOTE,05 JAN 1977,KEN,3,,"Houston, TX (USA)",17 JAN 2010,1177,2010,0 days 02:08:58,7738,KEN,ke,:ke:,Kenya,F
69,2:08:58,,Moses Kibet KANGOGO,10 NOV 1979,KEN,1,,Dublin (IRL),25 OCT 2010,1177,2010,0 days 02:08:58,7738,KEN,ke,:ke:,Kenya,F
71,2:09:03,,Guta ABIYOTE,10 OCT 1985,ETH,4,,Dubai (UAE),22 JAN 2010,1176,2010,0 days 02:09:03,7743,ETH,et,:et:,Ethiopia,F
71,2:09:03,,Shume GERBABA,19 NOV 1982,ETH,1,,Casablanca (MAR),24 OCT 2010,1176,2010,0 days 02:09:03,7743,ETH,et,:et:,Ethiopia,F
71,2:09:03,,Terefe Zewdie MEREGA,23 OCT 1982,ETH,6,,Frankfurt (GER),31 OCT 2010,1176,2010,0 days 02:09:03,7743,ETH,et,:et:,Ethiopia,F
74,2:09:09,,Hussen Adilo ROBA,18 MAY 1982,ETH,4,,"Houston, TX (USA)",17 JAN 2010,1174,2010,0 days 02:09:09,7749,ETH,et,:et:,Ethiopia,F
74,2:09:09,,Silas TOEK,1985,KEN,4,,Barcelona (ESP),07 MAR 2010,1174,2010,0 days 02:09:09,7749,KEN,ke,:ke:,Kenya,F
74,2:09:09,,Wilson KIPROP,14 APR 1987,KEN,5,,Praha (CZE),09 MAY 2010,1174,2010,0 days 02:09:09,7749,KEN,ke,:ke:,Kenya,F
77,2:09:10,,Charles Kibiwott SERONEI,08 AUG 1974,KEN,5,,"Houston, TX (USA)",17 JAN 2010,1174,2010,0 days 02:09:10,7750,KEN,ke,:ke:,Kenya,F
77,2:09:10,,Rachid KISRI,01 MAR 1975,MAR,2,,Casablanca (MAR),24 OCT 2010,1174,2010,0 days 02:09:10,7750,MAR,ma,:ma:,Morocco,F
79,2:09:13,,Dejene YIRDAWE,21 AUG 1978,ETH,1,,Gongju (KOR),17 OCT 2010,1173,2010,0 days 02:09:13,7753,ETH,et,:et:,Ethiopia,F
80,2:09:15,,Kedir Fikadu KASSA,1984,ETH,4,,Roma (ITA),21 MAR 2010,1173,2010,0 days 02:09:15,7755,ETH,et,:et:,Ethiopia,F
81,2:09:17,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,7,,Frankfurt (GER),31 OCT 2010,1172,2010,0 days 02:09:17,7757,KEN,ke,:ke:,Kenya,F
82,2:09:19,,Elijah KEITANY,18 OCT 1983,KEN,8,,Frankfurt (GER),31 OCT 2010,1172,2010,0 days 02:09:19,7759,KEN,ke,:ke:,Kenya,F
83,2:09:21,,Bellor Miningwo YATOR,01 JAN 1984,QAT,5,,Barcelona (ESP),07 MAR 2010,1171,2010,0 days 02:09:21,7761,QAT,qa,:qa:,Qatar,F
84,2:09:22,,Vincent Kiplagat MITEI,10 AUG 1984,KEN,6,,"Houston, TX (USA)",17 JAN 2010,1171,2010,0 days 02:09:22,7762,KEN,ke,:ke:,Kenya,F
84,2:09:22,,Wilfred Kibet KIGEN,23 FEB 1975,KEN,1,,Hamburg (GER),25 APR 2010,1171,2010,0 days 02:09:22,7762,KEN,ke,:ke:,Kenya,F
86,2:09:23,,Raymond KANDIE,07 SEP 1986,KEN,6,,Barcelona (ESP),07 MAR 2010,1170,2010,0 days 02:09:23,7763,KEN,ke,:ke:,Kenya,F
87,2:09:24,,Tadesse ABRAHAM,12 AUG 1982,ERI,7,,Berlin (GER),26 SEP 2010,1170,2010,0 days 02:09:24,7764,ERI,er,:er:,Eritrea,F
87,2:09:24,,Abdellah FALIL,1976,MAR,2,,Gongju (KOR),17 OCT 2010,1170,2010,0 days 02:09:24,7764,MAR,ma,:ma:,Morocco,F
89,2:09:25,,Cosmas Koech KIMUTAI,09 OCT 1985,KEN,6,,Eindhoven (NED),10 OCT 2010,1170,2010,0 days 02:09:25,7765,KEN,ke,:ke:,Kenya,F
90,2:09:26,,Francis Kibiwott LARABAL,15 SEP 1978,KEN,9,,Paris (FRA),11 APR 2010,1170,2010,0 days 02:09:26,7766,KEN,ke,:ke:,Kenya,F
91,2:09:27,,Arado Urige BUTA,28 NOV 1982,ETH,2,,Hamburg (GER),25 APR 2010,1169,2010,0 days 02:09:27,7767,ETH,et,:et:,Ethiopia,F
91,2:09:27,,Boniface MBUVI MUEMA,20 DEC 1986,KEN,4,,Chuncheon (KOR),24 OCT 2010,1169,2010,0 days 02:09:27,7767,KEN,ke,:ke:,Kenya,F
93,2:09:28,,Robert Kiprono CHERUIYOT,10 AUG 1988,KEN,6,,"Chicago, IL (USA)",10 OCT 2010,1169,2010,0 days 02:09:28,7768,KEN,ke,:ke:,Kenya,F
94,2:09:31,,Young-joon JI,15 OCT 1981,KOR,2,,Daegu (KOR),11 APR 2010,1168,2010,0 days 02:09:31,7771,KOR,kr,:kr:,"Korea, Republic of",F
95,2:09:32,,Joseph LOMALA,1982,KEN,2,,Wien (AUT),18 APR 2010,1168,2010,0 days 02:09:32,7772,KEN,ke,:ke:,Kenya,F
96,2:09:34,,Arata FUJIWARA,12 SEP 1981,JPN,1,,Ottawa (CAN),30 MAY 2010,1167,2010,0 days 02:09:34,7774,JPN,jp,:jp:,Japan,F
97,2:09:35,,Simon Kamama MUKUM,1984,KEN,1,,Venezia (ITA),24 OCT 2010,1167,2010,0 days 02:09:35,7775,KEN,ke,:ke:,Kenya,F
98,2:09:38,,Stephen CHEBOGUT,09 JAN 1985,KEN,1,,Reims (FRA),17 OCT 2010,1166,2010,0 days 02:09:38,7778,KEN,ke,:ke:,Kenya,F
99,2:09:40,,Negari Getachew TERFA,1983,ETH,2,,Xiamen (CHN),02 JAN 2010,1166,2010,0 days 02:09:40,7780,ETH,et,:et:,Ethiopia,F
100,2:09:41,,Mesfin ADIMASU,05 MAR 1985,ETH,3,,Wien (AUT),18 APR 2010,1165,2010,0 days 02:09:41,7781,ETH,et,:et:,Ethiopia,F
1,2:06:14,,Felix LIMO,22 AUG 1980,KEN,1,,Rotterdam (NED),04 APR 2004,1224,2004,0 days 02:06:14,7574,KEN,ke,:ke:,Kenya,F
2,2:06:16,,Evans RUTTO,08 APR 1978,KEN,1,,"Chicago, IL (USA)",10 OCT 2004,1223,2004,0 days 02:06:16,7576,KEN,ke,:ke:,Kenya,F
3,2:06:23,,Robert CHEBOROR,09 SEP 1978,KEN,1,,Amsterdam (NED),17 OCT 2004,1221,2004,0 days 02:06:23,7583,KEN,ke,:ke:,Kenya,F
4,2:06:48,,Sammy Kipchoge KORIR,12 DEC 1971,KEN,2,,London (GBR),18 APR 2004,1214,2004,0 days 02:06:48,7608,KEN,ke,:ke:,Kenya,F
5,2:06:49,,Joseph RIRI,1973,KEN,2,,Berlin (GER),26 SEP 2004,1214,2004,0 days 02:06:49,7609,KEN,ke,:ke:,Kenya,F
6,2:07:02,,Jaouad GHARIB,22 MAY 1972,MAR,3,,London (GBR),18 APR 2004,1210,2004,0 days 02:07:02,7622,MAR,ma,:ma:,Morocco,F
7,2:07:05,,Joshua CHELANGA,07 APR 1973,KEN,3,,Berlin (GER),26 SEP 2004,1209,2004,0 days 02:07:05,7625,KEN,ke,:ke:,Kenya,F
8,2:07:06,,Gert THYS,12 NOV 1971,RSA,1,,Seoul (KOR),14 MAR 2004,1209,2004,0 days 02:07:06,7626,ZAF,za,:za:,,F
9,2:07:42,,José RÍOS,15 MAR 1974,ESP,1,,Otsu (JPN),07 MAR 2004,1199,2004,0 days 02:07:42,7662,ESP,es,:es:,Spain,F
10,2:07:43,,William KIPSANG,26 JUN 1977,KEN,2,,Seoul (KOR),14 MAR 2004,1198,2004,0 days 02:07:43,7663,KEN,ke,:ke:,Kenya,F
11,2:07:44,,Daniel NJENGA,07 MAY 1976,KEN,2,,"Chicago, IL (USA)",10 OCT 2004,1198,2004,0 days 02:07:44,7664,KEN,ke,:ke:,Kenya,F
12,2:07:50,,Toshinari TAKAOKA,24 SEP 1970,JPN,3,,"Chicago, IL (USA)",10 OCT 2004,1196,2004,0 days 02:07:50,7670,JPN,jp,:jp:,Japan,F
13,2:08:10,,Mbarak HUSSEIN,04 APR 1965,USA,3,,Seoul (KOR),14 MAR 2004,1191,2004,0 days 02:08:10,7690,USA,us,:us:,United States,F
14,2:08:11,,Teferi WODAJO,27 JAN 1982,ETH,4,,Seoul (KOR),14 MAR 2004,1191,2004,0 days 02:08:11,7691,ETH,et,:et:,Ethiopia,F
15,2:08:15,,Bong-ju LEE,11 OCT 1970,KOR,5,,Seoul (KOR),14 MAR 2004,1189,2004,0 days 02:08:15,7695,KOR,kr,:kr:,"Korea, Republic of",F
16,2:08:18,,Tadayuki OJIMA,22 NOV 1976,JPN,2,,Otsu (JPN),07 MAR 2004,1189,2004,0 days 02:08:18,7698,JPN,jp,:jp:,Japan,F
17,2:08:27,,Jimmy Mwangangi MUINDI,14 AUG 1973,KEN,4,,"Chicago, IL (USA)",10 OCT 2004,1186,2004,0 days 02:08:27,7707,KEN,ke,:ke:,Kenya,F
18,2:08:33,,Wilson ONSARE,15 JUN 1976,KEN,3,,Otsu (JPN),07 MAR 2004,1184,2004,0 days 02:08:33,7713,KEN,ke,:ke:,Kenya,F
19,2:08:35,,Samson KANDIE,20 APR 1971,KEN,1,,Wien (AUT),16 MAY 2004,1184,2004,0 days 02:08:35,7715,KEN,ke,:ke:,Kenya,F
20,2:08:36,,Atsushi SATO,08 MAY 1978,JPN,4,,Otsu (JPN),07 MAR 2004,1184,2004,0 days 02:08:36,7716,JPN,jp,:jp:,Japan,F
21,2:08:37,,Stefano BALDINI,25 MAY 1971,ITA,4,,London (GBR),18 APR 2004,1183,2004,0 days 02:08:37,7717,ITA,it,:it:,Italy,F
22,2:08:38,,Fredrick CHERONO,23 NOV 1977,KEN,1,,Torino (ITA),18 APR 2004,1183,2004,0 days 02:08:38,7718,KEN,ke,:ke:,Kenya,F
22,2:08:38,,Daniel Kiplagat CHERIBO,1981,KEN,1,,Milano (ITA),28 NOV 2004,1183,2004,0 days 02:08:38,7718,KEN,ke,:ke:,Kenya,F
24,2:08:44,,Khalid KHANNOUCHI,22 DEC 1971,USA,5,,"Chicago, IL (USA)",10 OCT 2004,1181,2004,0 days 02:08:44,7724,USA,us,:us:,United States,F
25,2:08:46,,Satoshi OSAKI,04 JUN 1976,JPN,2,,Tokyo (JPN),08 FEB 2004,1181,2004,0 days 02:08:46,7726,JPN,jp,:jp:,Japan,F
26,2:08:48,,Marilson GOMES DOS SANTOS,06 AUG 1977,BRA,6,,"Chicago, IL (USA)",10 OCT 2004,1180,2004,0 days 02:08:48,7728,BRA,br,:br:,Brazil,F
27,2:08:54,,Young-joon JI,15 OCT 1981,KOR,6,,Seoul (KOR),14 MAR 2004,1179,2004,0 days 02:08:54,7734,KOR,kr,:kr:,"Korea, Republic of",F
28,2:08:56,,Kazutoshi TAKATSUKA,08 AUG 1976,JPN,5,,Otsu (JPN),07 MAR 2004,1178,2004,0 days 02:08:56,7736,JPN,jp,:jp:,Japan,F
28,2:08:56,,Ambesse TOLOSSA,28 AUG 1977,ETH,1,,Paris (FRA),04 APR 2004,1178,2004,0 days 02:08:56,7736,ETH,et,:et:,Ethiopia,F
30,2:09:07,,Michael Kosgei ROTICH,29 OCT 1982,KEN,2,,Rotterdam (NED),04 APR 2004,1175,2004,0 days 02:09:07,7747,KEN,ke,:ke:,Kenya,F
30,2:09:07,,Tesfaye TOLA,19 OCT 1974,ETH,5,,London (GBR),18 APR 2004,1175,2004,0 days 02:09:07,7747,ETH,et,:et:,Ethiopia,F
32,2:09:08,,Luís JESUS,19 NOV 1968,POR,5,,Berlin (GER),26 SEP 2004,1175,2004,0 days 02:09:08,7748,PRT,pt,:pt:,,F
33,2:09:10,,Boaz KIMAIYO,10 DEC 1976,KEN,1,,Frankfurt (GER),31 OCT 2004,1174,2004,0 days 02:09:10,7750,KEN,ke,:ke:,Kenya,F
33,2:09:10,,Tsuyoshi OGATA,11 MAY 1973,JPN,1,,Fukuoka (JPN),05 DEC 2004,1174,2004,0 days 02:09:10,7750,JPN,jp,:jp:,Japan,F
35,2:09:20,,Willy CHERUIYOT,02 AUG 1974,KEN,1,,Eindhoven (NED),10 OCT 2004,1171,2004,0 days 02:09:20,7760,KEN,ke,:ke:,Kenya,F
36,2:09:21,,Stephen KIOGORA,10 NOV 1974,KEN,7,,"Chicago, IL (USA)",10 OCT 2004,1171,2004,0 days 02:09:21,7761,KEN,ke,:ke:,Kenya,F
37,2:09:23,,Benjamin KIPCHUMBA,1976,KEN,2,,Milano (ITA),28 NOV 2004,1170,2004,0 days 02:09:23,7763,KEN,ke,:ke:,Kenya,F
38,2:09:25,,Yuko MATSUMIYA,21 FEB 1980,JPN,6,,Otsu (JPN),07 MAR 2004,1170,2004,0 days 02:09:25,7765,JPN,jp,:jp:,Japan,F
39,2:09:27,,Benedict Muli KIMONDIU,30 NOV 1977,KEN,3,,Tokyo (JPN),08 FEB 2004,1169,2004,0 days 02:09:27,7767,KEN,ke,:ke:,Kenya,F
40,2:09:28,,Yokinobu NAKAZAKI,04 APR 1979,JPN,4,,Tokyo (JPN),08 FEB 2004,1169,2004,0 days 02:09:28,7768,JPN,jp,:jp:,Japan,F
41,2:09:29,,Alberico DI CECCO,19 APR 1974,ITA,2,,Torino (ITA),18 APR 2004,1169,2004,0 days 02:09:29,7769,ITA,it,:it:,Italy,F
42,2:09:32,,Shin-ichi WATANABE,16 NOV 1976,JPN,6,,Berlin (GER),26 SEP 2004,1168,2004,0 days 02:09:32,7772,JPN,jp,:jp:,Japan,F
43,2:09:34,,Pavel LOSKUTOV,02 DEC 1969,EST,1,,Seoul (KOR),07 NOV 2004,1167,2004,0 days 02:09:34,7774,EST,ee,:ee:,Estonia,F
44,2:09:35,,Benoit ZWIERZCHLEWSKI,19 AUG 1976,FRA,6,,London (GBR),18 APR 2004,1167,2004,0 days 02:09:35,7775,FRA,fr,:fr:,France,F
45,2:09:39,,Vanderlei Cordeiro DE LIMA,11 AUG 1969,BRA,1,,Hamburg (GER),18 APR 2004,1166,2004,0 days 02:09:39,7779,BRA,br,:br:,Brazil,F
46,2:09:41,,Luis NOVO,29 MAY 1970,POR,7,,Berlin (GER),26 SEP 2004,1165,2004,0 days 02:09:41,7781,PRT,pt,:pt:,,F
47,2:09:42,,Abdelkader EL MOUAZIZ,1969,MAR,7,,London (GBR),18 APR 2004,1165,2004,0 days 02:09:42,7782,MAR,ma,:ma:,Morocco,F
48,2:09:43,,Tomoyuki SATO,31 JAN 1981,JPN,5,,Tokyo (JPN),08 FEB 2004,1165,2004,0 days 02:09:43,7783,JPN,jp,:jp:,Japan,F
49,2:09:47,,Gashaw MELESE ASFAW,26 SEP 1978,ETH,8,,Berlin (GER),26 SEP 2004,1164,2004,0 days 02:09:47,7787,ETH,et,:et:,Ethiopia,F
50,2:09:52,,Andrew SAMBU,05 OCT 1972,TAN,2,,Seoul (KOR),07 NOV 2004,1162,2004,0 days 02:09:52,7792,TZA,tz,:tz:,,F
51,2:09:55,,Viktor RÖTHLIN,14 OCT 1974,SUI,1,,Zürich (SUI),04 APR 2004,1162,2004,0 days 02:09:55,7795,CHE,ch,:ch:,,F
52,2:09:58,,Lee TROOP,22 MAR 1973,AUS,8,,London (GBR),18 APR 2004,1161,2004,0 days 02:09:58,7798,AUS,au,:au:,Australia,F
53,2:10:07,,Muneyuki OJIMA,25 SEP 1975,JPN,8,,Otsu (JPN),07 MAR 2004,1158,2004,0 days 02:10:07,7807,JPN,jp,:jp:,Japan,F
53,2:10:07,,Philip SINGOEI,31 DEC 1975,KEN,2,,Eindhoven (NED),10 OCT 2004,1158,2004,0 days 02:10:07,7807,KEN,ke,:ke:,Kenya,F
55,2:10:08,,Raymond Kipkoech CHEMWELO,19 JUL 1978,KEN,2,,Paris (FRA),04 APR 2004,1158,2004,0 days 02:10:08,7808,KEN,ke,:ke:,Kenya,F
56,2:10:10,,El Hassan LAHSSINI,01 JAN 1975,FRA,3,,Amsterdam (NED),17 OCT 2004,1157,2004,0 days 02:10:10,7810,FRA,fr,:fr:,France,F
57,2:10:12,,Ruggero PERTILE,08 AUG 1974,ITA,1,,Roma (ITA),28 MAR 2004,1157,2004,0 days 02:10:12,7812,ITA,it,:it:,Italy,F
58,2:10:13,,John Yuda MSURI,09 JUN 1979,TAN,9,,London (GBR),18 APR 2004,1157,2004,0 days 02:10:13,7813,TZA,tz,:tz:,,F
59,2:10:16,,Christopher CHEBOIBOCH,03 MAR 1977,KEN,1,,Leipzig (GER),25 APR 2004,1156,2004,0 days 02:10:16,7816,KEN,ke,:ke:,Kenya,F
60,2:10:19,,Barnabas KOECH,1978,KEN,3,,Eindhoven (NED),10 OCT 2004,1155,2004,0 days 02:10:19,7819,KEN,ke,:ke:,Kenya,F
61,2:10:22,,James ROTICH,22 DEC 1978,KEN,1,,Köln (GER),12 SEP 2004,1154,2004,0 days 02:10:22,7822,KEN,ke,:ke:,Kenya,F
62,2:10:26,,Henry Kosgei CHERONO,17 JUL 1978,KEN,2,,Köln (GER),12 SEP 2004,1153,2004,0 days 02:10:26,7826,KEN,ke,:ke:,Kenya,F
63,2:10:30,,Paul Kipkemboi BIWOTT,18 APR 1978,KEN,3,,Paris (FRA),04 APR 2004,1152,2004,0 days 02:10:30,7830,KEN,ke,:ke:,Kenya,F
64,2:10:32,,Thomas CHEMITEI,22 MAY 1978,KEN,3,,Köln (GER),12 SEP 2004,1151,2004,0 days 02:10:32,7832,KEN,ke,:ke:,Kenya,F
65,2:10:33,,Harun TOROITICH,1978,KEN,1,,"Tempe, AZ (USA)",11 JAN 2004,1151,2004,0 days 02:10:33,7833,KEN,ke,:ke:,Kenya,F
65,2:10:33,,Girma TOLA,19 OCT 1974,ETH,1,,Enschede (NED),16 MAY 2004,1151,2004,0 days 02:10:33,7833,ETH,et,:et:,Ethiopia,F
67,2:10:38,,Michitaka HOSOKAWA,26 APR 1976,JPN,6,,Tokyo (JPN),08 FEB 2004,1150,2004,0 days 02:10:38,7838,JPN,jp,:jp:,Japan,F
67,2:10:38,,Samson RAMADHANI,25 DEC 1982,TAN,7,,Seoul (KOR),14 MAR 2004,1150,2004,0 days 02:10:38,7838,TZA,tz,:tz:,,F
67,2:10:38,,Robert Kiprotich CHERUIYOT,20 DEC 1974,KEN,5,,Paris (FRA),04 APR 2004,1150,2004,0 days 02:10:38,7838,KEN,ke,:ke:,Kenya,F
67,2:10:38,,Guta ABIYOTE,10 OCT 1985,ETH,4,,Köln (GER),12 SEP 2004,1150,2004,0 days 02:10:38,7838,ETH,et,:et:,Ethiopia,F
71,2:10:42,,James MOIBEN,20 APR 1977,KEN,1,,Beijing (CHN),17 OCT 2004,1149,2004,0 days 02:10:42,7842,KEN,ke,:ke:,Kenya,F
72,2:10:44,,Thomas Nyakundi OMWENGA,22 NOV 1979,KEN,4,,Seoul (KOR),07 NOV 2004,1148,2004,0 days 02:10:44,7844,KEN,ke,:ke:,Kenya,F
73,2:10:47,,Hosea KIMUTAI KIPTANUI,1978,KEN,1,,Brescia (ITA),14 MAR 2004,1147,2004,0 days 02:10:47,7847,KEN,ke,:ke:,Kenya,F
74,2:10:49,,Khalid BOUMELILI,10 APR 1978,MAR,1,,Marrakech (MAR),18 JAN 2004,1147,2004,0 days 02:10:49,7849,MAR,ma,:ma:,Morocco,F
75,2:10:52,,Enock MITEI,26 NOV 1980,KEN,3,,Milano (ITA),28 NOV 2004,1146,2004,0 days 02:10:52,7852,KEN,ke,:ke:,Kenya,F
76,2:10:56,,Christopher ISEGWE,22 FEB 1976,TAN,2,,Beijing (CHN),17 OCT 2004,1145,2004,0 days 02:10:56,7856,TZA,tz,:tz:,,F
77,2:10:57,,Luke METTO,1976,KEN,5,,Seoul (KOR),07 NOV 2004,1145,2004,0 days 02:10:57,7857,KEN,ke,:ke:,Kenya,F
78,2:11:00,,James WAINAINA,16 JUN 1981,KEN,7,,Tokyo (JPN),08 FEB 2004,1144,2004,0 days 02:11:00,7860,KEN,ke,:ke:,Kenya,F
78,2:11:00,,John Ekiru KELAI,29 DEC 1976,KEN,1,,Bruxelles (BEL),10 OCT 2004,1144,2004,0 days 02:11:00,7860,KEN,ke,:ke:,Kenya,F
