Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Time,Time_in_seconds,Nat_Corrected,Two_Letter_ISO,Flag_Datawrapper,Country_Name,Gender
15,2:25:10,,Yanan WEI,06 DEC 1981,CHN,3,,Xiamen (CHN),05 JAN 2008,1181,2008,0 days 02:25:10,8710,CHN,cn,:cn:,China,F
16,2:25:12,,Lyubov MORGUNOVA,14 JAN 1971,RUS,1,,Rotterdam (NED),13 APR 2008,1180,2008,0 days 02:25:12,8712,RUS,ru,:ru:,Russian Federation,F
17,2:25:33,,Martha KOMU,23 MAR 1983,KEN,1,,Paris (FRA),06 APR 2008,1177,2008,0 days 02:25:33,8733,KEN,ke,:ke:,Kenya,F
18,2:25:34,,Tomo MORIMOTO,27 DEC 1983,JPN,2,,Osaka (JPN),27 JAN 2008,1177,2008,0 days 02:25:34,8734,JPN,jp,:jp:,Japan,F
19,2:25:37,,Workenesh TOLA,06 JUN 1977,ETH,2,,Paris (FRA),06 APR 2008,1176,2008,0 days 02:25:37,8737,ETH,et,:et:,Ethiopia,F
19,2:25:37,,Gete WAMI,11 DEC 1974,ETH,3,,London (GBR),13 APR 2008,1176,2008,0 days 02:25:37,8737,ETH,et,:et:,Ethiopia,F
21,2:25:48,,Rose CHERUIYOT,21 JUL 1976,KEN,4,,Dubai (UAE),18 JAN 2008,1174,2008,0 days 02:25:48,8748,KEN,ke,:ke:,Kenya,F
22,2:25:51,,Yurika NAKAMURA,01 APR 1986,JPN,1,,Nagoya (JPN),09 MAR 2008,1174,2008,0 days 02:25:51,8751,JPN,jp,:jp:,Japan,F
22,2:25:51,,Yoko SHIBUI,14 MAR 1979,JPN,4,,Tokyo (JPN),16 NOV 2008,1174,2008,0 days 02:25:51,8751,JPN,jp,:jp:,Japan,F
24,2:25:57,,Lydia CHEROMEI,11 MAY 1977,KEN,1,,Amsterdam (NED),19 OCT 2008,1173,2008,0 days 02:25:57,8757,KEN,ke,:ke:,Kenya,F
25,2:26:00,,Julia Mombi MURAGA,25 JAN 1985,KEN,3,,Osaka (JPN),27 JAN 2008,1172,2008,0 days 02:26:00,8760,KEN,ke,:ke:,Kenya,F
25,2:26:00,,Lenah CHERUIYOT,01 MAR 1973,KEN,3,,Paris (FRA),06 APR 2008,1172,2008,0 days 02:26:00,8760,KEN,ke,:ke:,Kenya,F
27,2:26:01,,Jiali WANG,01 FEB 1986,CHN,1,,Zhengzhou (CHN),30 MAR 2008,1172,2008,0 days 02:26:01,8761,CHN,cn,:cn:,China,F
28,2:26:09,,Miki OHIRA,28 JUN 1981,JPN,4,,Osaka (JPN),27 JAN 2008,1171,2008,0 days 02:26:09,8769,JPN,jp,:jp:,Japan,F
29,2:26:10,,Debellu Shitaye GEMECHU,17 JUN 1980,ETH,4,,Paris (FRA),06 APR 2008,1171,2008,0 days 02:26:10,8770,ETH,et,:et:,Ethiopia,F
30,2:26:11,,Shujing ZHANG,13 SEP 1978,CHN,1,,Seoul (KOR),16 MAR 2008,1171,2008,0 days 02:26:11,8771,CHN,cn,:cn:,China,F
31,2:26:22,,Sabrina MOCKENHAUPT,06 DEC 1980,GER,1,,Frankfurt (GER),26 OCT 2008,1169,2008,0 days 02:26:22,8782,DEU,de,:de:,,F
32,2:26:30,,Salina Jebet KOSGEI,16 NOV 1976,KEN,4,,London (GBR),13 APR 2008,1167,2008,0 days 02:26:30,8790,KEN,ke,:ke:,Kenya,F
33,2:26:39,,Alevtina IVANOVA,22 MAY 1975,RUS,1,,Nagano (JPN),20 APR 2008,1166,2008,0 days 02:26:39,8799,RUS,ru,:ru:,Russian Federation,F
34,2:26:43,,Luminiţa MOANGA-TALPOŞ,09 OCT 1972,ROU,1,,Wien (AUT),27 APR 2008,1165,2008,0 days 02:26:43,8803,ROU,ro,:ro:,Romania,F
35,2:26:44,,Constantina DITA-TOMESCU,23 JAN 1970,ROU,1,,"National Stadium, Beijing (CHN)",17 AUG 2008,1165,2008,0 days 02:26:44,8804,ROU,ro,:ro:,Romania,F
36,2:26:45,,Alice Jemeli TIMBILILI,01 FEB 1983,KEN,5,,Paris (FRA),06 APR 2008,1165,2008,0 days 02:26:45,8805,KEN,ke,:ke:,Kenya,F
36,2:26:45,,Lyudmila PETROVA,07 OCT 1968,RUS,5,,London (GBR),13 APR 2008,1165,2008,0 days 02:26:45,8805,RUS,ru,:ru:,Russian Federation,F
38,2:26:55,,Madoka OGI,26 OCT 1983,JPN,5,,Osaka (JPN),27 JAN 2008,1163,2008,0 days 02:26:55,8815,JPN,jp,:jp:,Japan,F
39,2:27:06,,Catherine NDEREBA,21 JUL 1972,KEN,2,,"National Stadium, Beijing (CHN)",17 AUG 2008,1161,2008,0 days 02:27:06,8826,KEN,ke,:ke:,Kenya,F
40,2:27:07,,Chunxiu ZHOU,15 NOV 1978,CHN,3,,"National Stadium, Beijing (CHN)",17 AUG 2008,1161,2008,0 days 02:27:07,8827,CHN,cn,:cn:,China,F
41,2:27:09,,Rong CHEN,18 MAY 1988,CHN,4,,Xiamen (CHN),05 JAN 2008,1161,2008,0 days 02:27:09,8829,CHN,cn,:cn:,China,F
42,2:27:14,,Yumiko HARA,09 JAN 1982,JPN,4,,Nagoya (JPN),09 MAR 2008,1160,2008,0 days 02:27:14,8834,JPN,jp,:jp:,Japan,F
43,2:27:16,,Chika HORIE,15 FEB 1981,JPN,5,,Nagoya (JPN),09 MAR 2008,1160,2008,0 days 02:27:16,8836,JPN,jp,:jp:,Japan,F
43,2:27:16,,Xiaolin ZHU,20 FEB 1984,CHN,4,,"National Stadium, Beijing (CHN)",17 AUG 2008,1160,2008,0 days 02:27:16,8836,CHN,cn,:cn:,China,F
45,2:27:17,,Lidia ŞIMON,04 SEP 1973,ROU,6,,Osaka (JPN),27 JAN 2008,1160,2008,0 days 02:27:17,8837,ROU,ro,:ro:,Romania,F
45,2:27:17,,Lidiya GRIGORYEVA,21 JAN 1974,RUS,1,,"Chicago, IL (USA)",12 OCT 2008,1160,2008,0 days 02:27:17,8837,RUS,ru,:ru:,Russian Federation,F
47,2:27:29,,Alice CHELANGAT,27 DEC 1976,KEN,5,,Dubai (UAE),18 JAN 2008,1158,2008,0 days 02:27:29,8849,KEN,ke,:ke:,Kenya,F
48,2:27:32,,Adenech ZEKIROS,26 MAR 1982,ETH,2,,Rotterdam (NED),13 APR 2008,1157,2008,0 days 02:27:32,8852,ETH,et,:et:,Ethiopia,F
49,2:27:37,,Olesya NURGALIEVA,09 JAN 1976,RUS,2,,Frankfurt (GER),26 OCT 2008,1156,2008,0 days 02:27:37,8857,RUS,ru,:ru:,Russian Federation,F
50,2:27:41,,Souad AIT SALEM,06 JAN 1979,ALG,6,,London (GBR),13 APR 2008,1156,2008,0 days 02:27:41,8861,ALG,,,,F
51,2:27:42,,Anna INCERTI,19 JAN 1980,ITA,1,,Milano (ITA),23 NOV 2008,1155,2008,0 days 02:27:42,8862,ITA,it,:it:,Italy,F
52,2:27:52,,Mika OKUNAGA,27 OCT 1982,JPN,7,,Osaka (JPN),27 JAN 2008,1154,2008,0 days 02:27:52,8872,JPN,jp,:jp:,Japan,F
53,2:28:06,,Aki FUJIKAWA,14 NOV 1978,JPN,8,,Osaka (JPN),27 JAN 2008,1151,2008,0 days 02:28:06,8886,JPN,jp,:jp:,Japan,F
54,2:28:18,,Larisa ZYUZKO,27 APR 1969,RUS,2,,Roma (ITA),16 MAR 2008,1149,2008,0 days 02:28:18,8898,RUS,ru,:ru:,Russian Federation,F
55,2:28:20,,Melanie KRAUS,24 OCT 1974,GER,3,,Frankfurt (GER),26 OCT 2008,1149,2008,0 days 02:28:20,8900,DEU,de,:de:,,F
56,2:28:24,,Asha GIGI,15 OCT 1973,ETH,6,,Dubai (UAE),18 JAN 2008,1148,2008,0 days 02:28:24,8904,ETH,et,:et:,Ethiopia,F
56,2:28:24,,Christelle DAUNAY,05 DEC 1974,FRA,10,,Osaka (JPN),27 JAN 2008,1148,2008,0 days 02:28:24,8904,FRA,fr,:fr:,France,F
58,2:28:31,,Irene LIMIKA,28 AUG 1979,KEN,4,,Frankfurt (GER),26 OCT 2008,1147,2008,0 days 02:28:31,8911,KEN,ke,:ke:,Kenya,F
59,2:28:33,,Liz YELLING,05 DEC 1974,GBR,9,,London (GBR),13 APR 2008,1147,2008,0 days 02:28:33,8913,GBR,gb,:gb:,United Kingdom,F
60,2:28:34,,Pamela CHEPCHUMBA,08 MAR 1979,KEN,2,,Milano (ITA),23 NOV 2008,1147,2008,0 days 02:28:34,8914,KEN,ke,:ke:,Kenya,F
61,2:28:39,,Xueqin WANG,01 JAN 1991,CHN,2,,Seoul (KOR),16 MAR 2008,1146,2008,0 days 02:28:39,8919,CHN,cn,:cn:,China,F
61,2:28:39,,Pyo UN-SUK,13 JUN 1981,PRK,1,,Pyongyang (PRK),06 APR 2008,1146,2008,0 days 02:28:39,8919,PRK,kp,:kp:,"Korea, Democratic People's Republic of",F
63,2:28:40,,Tetyana FILONYUK,05 APR 1984,UKR,6,,Paris (FRA),06 APR 2008,1146,2008,0 days 02:28:40,8920,UKR,ua,:ua:,Ukraine,F
64,2:28:44,,Asmae LEGHZAOUI,30 AUG 1976,MAR,1,,Ottawa (CAN),25 MAY 2008,1145,2008,0 days 02:28:44,8924,MAR,ma,:ma:,Morocco,F
65,2:28:50,,Ayumi NAKAYAMA,10 SEP 1985,JPN,11,,Osaka (JPN),27 JAN 2008,1144,2008,0 days 02:28:50,8930,JPN,jp,:jp:,Japan,F
66,2:28:51,,Kate SMYTH,22 SEP 1972,AUS,2,,Nagano (JPN),20 APR 2008,1144,2008,0 days 02:28:51,8931,AUS,au,:au:,Australia,F
67,2:28:52,,Adriana NELSON,31 JAN 1980,ROU,10,,London (GBR),13 APR 2008,1144,2008,0 days 02:28:52,8932,ROU,ro,:ro:,Romania,F
68,2:28:54,,Nuţa OLARU,28 AUG 1970,ROU,1,,"San Antonio, TX (USA)",16 NOV 2008,1143,2008,0 days 02:28:54,8934,ROU,ro,:ro:,Romania,F
69,2:29:03,,Megumi TANAKA-OSHIMA,04 SEP 1975,JPN,6,,Nagoya (JPN),09 MAR 2008,1142,2008,0 days 02:29:03,8943,JPN,jp,:jp:,Japan,F
69,2:29:03,,Alessandra AGUILAR,01 JUL 1978,ESP,3,,Rotterdam (NED),13 APR 2008,1142,2008,0 days 02:29:03,8943,ESP,es,:es:,Spain,F
71,2:29:04,,Anikó KÁLOVICS,13 MAY 1977,HUN,3,,Roma (ITA),16 MAR 2008,1142,2008,0 days 02:29:04,8944,HUN,hu,:hu:,Hungary,F
72,2:29:06,,Mulu SEBOKA,25 SEP 1984,ETH,1,,Toronto (CAN),28 SEP 2008,1142,2008,0 days 02:29:06,8946,ETH,et,:et:,Ethiopia,F
73,2:29:07,,Miyuki ANDO,25 MAR 1980,JPN,12,,Osaka (JPN),27 JAN 2008,1141,2008,0 days 02:29:07,8947,JPN,jp,:jp:,Japan,F
74,2:29:09,,Tatyana ARYASOVA,02 APR 1979,RUS,1,,"Los Angeles, CA (USA)",03 FEB 2008,1141,2008,0 days 02:29:09,8949,RUS,ru,:ru:,Russian Federation,F
75,2:29:11,,Hellen Jemaiyo KIMUTAI,28 DEC 1977,KEN,3,,Seoul (KOR),16 MAR 2008,1141,2008,0 days 02:29:11,8951,KEN,ke,:ke:,Kenya,F
75,2:29:11,,Silviya SKVORTSOVA,16 NOV 1974,RUS,11,,London (GBR),13 APR 2008,1141,2008,0 days 02:29:11,8951,RUS,ru,:ru:,Russian Federation,F
77,2:29:18,,Hayley HAINING,06 MAR 1972,GBR,12,,London (GBR),13 APR 2008,1140,2008,0 days 02:29:18,8958,GBR,gb,:gb:,United Kingdom,F
78,2:29:20,,Tabitha TSATSA,18 SEP 1972,ZIM,4,,Seoul (KOR),16 MAR 2008,1139,2008,0 days 02:29:20,8960,ZIM,,,,F
79,2:29:22,,Ana DIAS,15 JAN 1974,POR,1,,Sevilla (ESP),24 FEB 2008,1139,2008,0 days 02:29:22,8962,PRT,pt,:pt:,,F
80,2:29:23,,Yumi HIRATA,22 JUN 1981,JPN,7,,Nagoya (JPN),09 MAR 2008,1139,2008,0 days 02:29:23,8963,JPN,jp,:jp:,Japan,F
81,2:29:31,,Kazue OGOSHI,02 MAR 1981,JPN,13,,Osaka (JPN),27 JAN 2008,1137,2008,0 days 02:29:31,8971,JPN,jp,:jp:,Japan,F
82,2:29:32,,Eun-jung LEE,21 APR 1981,KOR,5,,Seoul (KOR),16 MAR 2008,1137,2008,0 days 02:29:32,8972,KOR,kr,:kr:,"Korea, Republic of",F
82,2:29:32,,Alevtina BIKTIMIROVA,10 SEP 1982,RUS,2,,"Chicago, IL (USA)",12 OCT 2008,1137,2008,0 days 02:29:32,8972,RUS,ru,:ru:,Russian Federation,F
84,2:29:33,,Kim-Chol SUN,21 MAR 1983,PRK,2,,Pyongyang (PRK),06 APR 2008,1137,2008,0 days 02:29:33,8973,PRK,kp,:kp:,"Korea, Democratic People's Republic of",F
84,2:29:33,,Živilé BALČIUNAITĖ,03 APR 1979,LTU,11,,"National Stadium, Beijing (CHN)",17 AUG 2008,1137,2008,0 days 02:29:33,8973,LTU,lt,:lt:,Lithuania,F
86,2:29:34,,Maya NISHIO,19 DEC 1978,JPN,8,,Nagoya (JPN),09 MAR 2008,1137,2008,0 days 02:29:34,8974,JPN,jp,:jp:,Japan,F
87,2:29:35,,Deena KASTOR,14 FEB 1973,USA,1,,"Boston, MA (USA)",20 APR 2008,1137,2008,0 days 02:29:35,8975,USA,us,:us:,United States,F
87,2:29:35,,Susanne HAHN,23 APR 1978,GER,1,,Mainz (GER),04 MAY 2008,1137,2008,0 days 02:29:35,8975,DEU,de,:de:,,F
89,2:29:37,,Liza HUNTER-GALVAN,25 JUN 1969,NZL,2,,"San Antonio, TX (USA)",16 NOV 2008,1136,2008,0 days 02:29:37,8977,NZL,nz,:nz:,New Zealand,F
90,2:29:39,,Robe GUTA,12 OCT 1986,ETH,1,,Köln (GER),05 OCT 2008,1136,2008,0 days 02:29:39,8979,ETH,et,:et:,Ethiopia,F
91,2:29:40,,Kirsten Melkevik OTTERBU,29 MAY 1970,NOR,5,,Frankfurt (GER),26 OCT 2008,1136,2008,0 days 02:29:40,8980,NOR,no,:no:,Norway,F
92,2:29:50,,Harumi HIROYAMA-SUZUKI,02 SEP 1968,JPN,9,,Nagoya (JPN),09 MAR 2008,1134,2008,0 days 02:29:50,8990,JPN,jp,:jp:,Japan,F
93,2:29:51,,Vincenza SICARI,19 MAR 1979,ITA,1,,Torino (ITA),13 APR 2008,1134,2008,0 days 02:29:51,8991,ITA,it,:it:,Italy,F
94,2:29:53,,Almaz MEGERSSA,1982,ETH,7,,Paris (FRA),06 APR 2008,1134,2008,0 days 02:29:53,8993,ETH,et,:et:,Ethiopia,F
95,2:29:57,,Merima DENBOBA,21 AUG 1974,ETH,3,,Milano (ITA),23 NOV 2008,1133,2008,0 days 02:29:57,8997,ETH,et,:et:,Ethiopia,F
96,2:29:58,,Sun-young LEE,20 AUG 1984,KOR,1,,Seoul (KOR),02 NOV 2008,1133,2008,0 days 02:29:58,8998,KOR,kr,:kr:,"Korea, Republic of",F
97,2:30:00,,Luminita ZAITUC,09 OCT 1968,GER,2,,Köln (GER),05 OCT 2008,1133,2008,0 days 02:30:00,9000,DEU,de,:de:,,F
98,2:30:01,,Kum-Ok KIM,09 DEC 1988,PRK,12,,"National Stadium, Beijing (CHN)",17 AUG 2008,1132,2008,0 days 02:30:01,9001,PRK,kp,:kp:,"Korea, Democratic People's Republic of",F
99,2:30:03,,Gulnara VYGOVSKAYA,06 SEP 1980,RUS,5,,Berlin (GER),28 SEP 2008,1132,2008,0 days 02:30:03,9003,RUS,ru,:ru:,Russian Federation,F
99,2:30:03,,Kebebush Haile LEMA,13 APR 1986,ETH,2,,Dublin (IRL),27 OCT 2008,1132,2008,0 days 02:30:03,9003,ETH,et,:et:,Ethiopia,F
1,2:17:16,,Peres JEPCHIRCHIR,27 SEP 1993,KEN,1,,Valencia (ESP),06 DEC 2020,1262,2020,0 days 02:17:16,8236,KEN,ke,:ke:,Kenya,F
2,2:17:45,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Tokyo (JPN),01 MAR 2020,1257,2020,0 days 02:17:45,8265,ISR,il,:il:,Israel,F
3,2:18:35,,Birhane DIBABA,11 SEP 1993,ETH,2,,Tokyo (JPN),01 MAR 2020,1248,2020,0 days 02:18:35,8315,ETH,et,:et:,Ethiopia,F
4,2:18:40,,Joyciline JEPKOSGEI,08 DEC 1993,KEN,2,,Valencia (ESP),06 DEC 2020,1247,2020,0 days 02:18:40,8320,KEN,ke,:ke:,Kenya,F
5,2:18:58,,Brigid KOSGEI,20 FEB 1994,KEN,1,,London (GBR),04 OCT 2020,1244,2020,0 days 02:18:58,8338,KEN,ke,:ke:,Kenya,F
6,2:19:38,,Worknesh DEGEFA,28 OCT 1990,ETH,1,,Dubai (UAE),24 JAN 2020,1237,2020,0 days 02:19:38,8378,ETH,et,:et:,Ethiopia,F
7,2:19:52,,Helalia JOHANNES,13 AUG 1980,NAM,3,,Valencia (ESP),06 DEC 2020,1235,2020,0 days 02:19:52,8392,NAM,na,:na:,Namibia,F
8,2:19:54,,Zeineba YIMER,17 JUN 1998,ETH,4,,Valencia (ESP),06 DEC 2020,1234,2020,0 days 02:19:54,8394,ETH,et,:et:,Ethiopia,F
9,2:19:56,,Degitu AZIMERAW,24 JAN 1999,ETH,5,,Valencia (ESP),06 DEC 2020,1234,2020,0 days 02:19:56,8396,ETH,et,:et:,Ethiopia,F
9,2:19:56,,Tigist GIRMA,12 JUL 1993,ETH,6,,Valencia (ESP),06 DEC 2020,1234,2020,0 days 02:19:56,8396,ETH,et,:et:,Ethiopia,F
11,2:20:05,,Ruti AGA,16 JAN 1994,ETH,7,,Valencia (ESP),06 DEC 2020,1232,2020,0 days 02:20:05,8405,ETH,et,:et:,Ethiopia,F
12,2:20:11,,Gutemi Shone IMANA,17 NOV 1991,ETH,2,,Dubai (UAE),24 JAN 2020,1231,2020,0 days 02:20:11,8411,ETH,et,:et:,Ethiopia,F
13,2:20:29,,Mao ICHIYAMA,29 MAY 1997,JPN,1,,Nagoya (JPN),08 MAR 2020,1228,2020,0 days 02:20:29,8429,JPN,jp,:jp:,Japan,F
14,2:20:30,,Sutume Asefa KEBEDE,11 DEC 1994,ETH,3,,Tokyo (JPN),01 MAR 2020,1228,2020,0 days 02:20:30,8430,ETH,et,:et:,Ethiopia,F
15,2:20:32,,Sara HALL,15 APR 1983,USA,1,,"Chandler, AZ (USA)",20 DEC 2020,1228,2020,0 days 02:20:32,8432,USA,us,:us:,United States,F
16,2:20:57,,Joan Chelimo MELLY,10 NOV 1990,KEN,8,,Valencia (ESP),06 DEC 2020,1224,2020,0 days 02:20:57,8457,KEN,ke,:ke:,Kenya,F
17,2:21:42,,Selly Chepyego KAPTICH,03 OCT 1985,KEN,4,,Tokyo (JPN),01 MAR 2020,1216,2020,0 days 02:21:42,8502,KEN,ke,:ke:,Kenya,F
18,2:21:47,,Mizuki MATSUDA,31 MAY 1995,JPN,1,,Osaka (JPN),26 JAN 2020,1215,2020,0 days 02:21:47,8507,JPN,jp,:jp:,Japan,F
19,2:21:55,,Bedatu HIRPA,28 APR 1999,ETH,3,,Dubai (UAE),24 JAN 2020,1214,2020,0 days 02:21:55,8515,ETH,et,:et:,Ethiopia,F
20,2:22:05,,Ruth CHEPNGETICH,08 AUG 1994,KEN,3,,London (GBR),04 OCT 2020,1212,2020,0 days 02:22:05,8525,KEN,ke,:ke:,Kenya,F
21,2:22:06,,Diana Chemtai KIPYOKEI,05 MAY 1994,KEN,1,,Istanbul (TUR),08 NOV 2020,1212,2020,0 days 02:22:06,8526,KEN,ke,:ke:,Kenya,F
22,2:22:40,,Mimi BELETE,09 JUN 1988,BRN,2,,Osaka (JPN),26 JAN 2020,1206,2020,0 days 02:22:40,8560,BRN,bn,:bn:,Brunei Darussalam,F
23,2:22:41,,Yuka ANDO,16 MAR 1994,JPN,2,,Nagoya (JPN),08 MAR 2020,1206,2020,0 days 02:22:41,8561,JPN,jp,:jp:,Japan,F
24,2:22:45,,Tigist ABAYECHEW,22 FEB 1994,ETH,4,,Dubai (UAE),24 JAN 2020,1205,2020,0 days 02:22:45,8565,ETH,et,:et:,Ethiopia,F
25,2:22:51,,Ashete BEKERE,17 APR 1988,ETH,4,,London (GBR),04 OCT 2020,1204,2020,0 days 02:22:51,8571,ETH,et,:et:,Ethiopia,F
26,2:22:52,,Dera DIDA,26 OCT 1996,ETH,5,,Dubai (UAE),24 JAN 2020,1204,2020,0 days 02:22:52,8572,ETH,et,:et:,Ethiopia,F
27,2:22:56,,Purity Cherotich RIONORIPO,10 JUN 1993,KEN,3,,Nagoya (JPN),08 MAR 2020,1203,2020,0 days 02:22:56,8576,KEN,ke,:ke:,Kenya,F
27,2:22:56,,Keira D'AMATO,21 OCT 1984,USA,2,,"Chandler, AZ (USA)",20 DEC 2020,1203,2020,0 days 02:22:56,8576,USA,us,:us:,United States,F
29,2:22:58,,Azmera GEBRU,31 OCT 1995,ETH,6,,Tokyo (JPN),01 MAR 2020,1203,2020,0 days 02:22:58,8578,ETH,et,:et:,Ethiopia,F
30,2:23:03,,Sentayehu LEWETEGN,09 MAY 1996,ETH,3,,Osaka (JPN),26 JAN 2020,1202,2020,0 days 02:23:03,8583,ETH,et,:et:,Ethiopia,F
31,2:23:13,,Juliet CHEKWEL,25 MAY 1990,UGA,1,,Sevilla (ESP),23 FEB 2020,1200,2020,0 days 02:23:13,8593,UGA,ug,:ug:,Uganda,F
32,2:23:17,,Hirut TIBEBU,13 DEC 1994,ETH,4,,Nagoya (JPN),08 MAR 2020,1200,2020,0 days 02:23:17,8597,ETH,et,:et:,Ethiopia,F
33,2:23:27,,Sayaka SATO,27 MAY 1994,JPN,5,,Nagoya (JPN),08 MAR 2020,1198,2020,0 days 02:23:27,8607,JPN,jp,:jp:,Japan,F
34,2:23:29,,Askale MERACHI,04 JAN 1987,ETH,1,,"Houston, TX (USA)",19 JAN 2020,1198,2020,0 days 02:23:29,8609,ETH,et,:et:,Ethiopia,F
35,2:23:31,,Meskerem ASSEFA,03 OCT 1991,ETH,4,,Osaka (JPN),26 JAN 2020,1197,2020,0 days 02:23:31,8611,ETH,et,:et:,Ethiopia,F
36,2:23:36,,Hawi FEYSA,01 FEB 1999,ETH,6,,Dubai (UAE),24 JAN 2020,1197,2020,0 days 02:23:36,8616,ETH,et,:et:,Ethiopia,F
37,2:23:39,,Bontu BEKELE,11 SEP 1989,ETH,2,,Sevilla (ESP),23 FEB 2020,1196,2020,0 days 02:23:39,8619,ETH,et,:et:,Ethiopia,F
38,2:23:49,,Sifan MELAKU,05 FEB 2000,ETH,3,,Sevilla (ESP),23 FEB 2020,1194,2020,0 days 02:23:49,8629,ETH,et,:et:,Ethiopia,F
39,2:23:52,,Helen BEKELE,21 NOV 1994,ETH,6,,Nagoya (JPN),08 MAR 2020,1194,2020,0 days 02:23:52,8632,ETH,et,:et:,Ethiopia,F
40,2:24:14,,Josephine CHEPKOECH,21 APR 1989,KEN,4,,Sevilla (ESP),23 FEB 2020,1190,2020,0 days 02:24:14,8654,KEN,ke,:ke:,Kenya,F
41,2:24:23,,Megertu ALEMU,12 OCT 1997,ETH,5,,London (GBR),04 OCT 2020,1189,2020,0 days 02:24:23,8663,ETH,et,:et:,Ethiopia,F
42,2:24:27,,Fancy CHEMUTAI,20 MAR 1995,KEN,10,,Valencia (ESP),06 DEC 2020,1188,2020,0 days 02:24:27,8667,KEN,ke,:ke:,Kenya,F
43,2:24:30,,Purity CHANGWONY,1990,KEN,5,,Sevilla (ESP),23 FEB 2020,1187,2020,0 days 02:24:30,8670,KEN,ke,:ke:,Kenya,F
43,2:24:30,,Hiwot GEBREKIDAN,11 MAY 1995,ETH,2,,Istanbul (TUR),08 NOV 2020,1187,2020,0 days 02:24:30,8670,ETH,et,:et:,Ethiopia,F
45,2:24:47,,Bruktayit ESHETU,29 SEP 1990,ETH,2,,"Houston, TX (USA)",19 JAN 2020,1185,2020,0 days 02:24:47,8687,ETH,et,:et:,Ethiopia,F
46,2:24:50,,Malindi ELMORE,13 MAR 1980,CAN,3,,"Houston, TX (USA)",19 JAN 2020,1184,2020,0 days 02:24:50,8690,CAN,ca,:ca:,Canada,F
47,2:24:51,,Amane Beriso SHANKULE,13 OCT 1991,ETH,1,,Mumbai (IND),19 JAN 2020,1184,2020,0 days 02:24:51,8691,ETH,et,:et:,Ethiopia,F
48,2:24:54,,Meseret BELETE,16 SEP 1999,ETH,4,,"Houston, TX (USA)",19 JAN 2020,1183,2020,0 days 02:24:54,8694,ETH,et,:et:,Ethiopia,F
49,2:25:08,,Birke DEBELE,12 SEP 1995,ETH,7,,Nagoya (JPN),08 MAR 2020,1181,2020,0 days 02:25:08,8708,ETH,et,:et:,Ethiopia,F
50,2:25:13,,Molly SEIDEL,12 JUL 1994,USA,6,,London (GBR),04 OCT 2020,1180,2020,0 days 02:25:13,8713,USA,us,:us:,United States,F
51,2:25:22,,Senbere TEFERI,03 MAY 1995,ETH,7,,Tokyo (JPN),01 MAR 2020,1179,2020,0 days 02:25:22,8722,ETH,et,:et:,Ethiopia,F
51,2:25:22,,Kellyn TAYLOR,22 JUL 1986,USA,3,,"Chandler, AZ (USA)",20 DEC 2020,1179,2020,0 days 02:25:22,8722,USA,us,:us:,United States,F
53,2:25:40,,Emma BATES,08 JUL 1992,USA,4,,"Chandler, AZ (USA)",20 DEC 2020,1176,2020,0 days 02:25:40,8740,USA,us,:us:,United States,F
54,2:26:02,,Lisa WEIGHTMAN,16 JAN 1979,AUS,5,,Osaka (JPN),26 JAN 2020,1172,2020,0 days 02:26:02,8762,AUS,au,:au:,Australia,F
55,2:26:12,,Medina Deme ARMINO,22 OCT 1997,ETH,1,,Xiamen (CHN),05 JAN 2020,1170,2020,0 days 02:26:12,8772,ETH,et,:et:,Ethiopia,F
56,2:26:19,,Natasha WODAK,17 DEC 1981,CAN,5,,"Chandler, AZ (USA)",20 DEC 2020,1169,2020,0 days 02:26:19,8779,CAN,ca,:ca:,Canada,F
57,2:26:24,,Bornes CHEPKIRUI,23 NOV 1986,KEN,6,,Osaka (JPN),26 JAN 2020,1168,2020,0 days 02:26:24,8784,KEN,ke,:ke:,Kenya,F
58,2:26:28,,Mesera HUSSEN,04 APR 2000,ETH,2,,Xiamen (CHN),05 JAN 2020,1168,2020,0 days 02:26:28,8788,ETH,et,:et:,Ethiopia,F
59,2:26:34,,Ai HOSODA,27 NOV 1995,JPN,8,,Nagoya (JPN),08 MAR 2020,1167,2020,0 days 02:26:34,8794,JPN,jp,:jp:,Japan,F
59,2:26:34,,Andrea Soraya RAMÍREZ LIMON,05 NOV 1992,MEX,6,,"Chandler, AZ (USA)",20 DEC 2020,1167,2020,0 days 02:26:34,8794,MEX,mx,:mx:,Mexico,F
61,2:26:35,,Haruka YAMAGUCHI,07 JUL 1987,JPN,7,,Osaka (JPN),26 JAN 2020,1167,2020,0 days 02:26:35,8795,JPN,jp,:jp:,Japan,F
62,2:26:39,,Zhixuan LI,23 MAR 1994,CHN,1,,Shanghai (CHN),29 NOV 2020,1166,2020,0 days 02:26:39,8799,CHN,cn,:cn:,China,F
63,2:26:42,,Afera GODFAY,25 SEP 1991,ETH,3,,Xiamen (CHN),05 JAN 2020,1165,2020,0 days 02:26:42,8802,ETH,et,:et:,Ethiopia,F
63,2:26:42,,Carolina WIKSTRÖM,04 SEP 1993,SWE,11,,Valencia (ESP),06 DEC 2020,1165,2020,0 days 02:26:42,8802,SWE,se,:se:,Sweden,F
